
   ising   psi         q          di      re alpha   im alpha

     1  7.971E-01  2.000E+00 -2.667E-01  5.165E-01 -0.000E+00


   is    psifac      dpsi        q       singfac     eval1

  333  7.959E-01  7.298E-05  1.995E+00  5.196E-03  5.632E+01
  334  7.960E-01  7.298E-05  1.995E+00  4.890E-03  5.631E+01
  335  7.960E-01  7.298E-05  1.995E+00  4.584E-03  5.631E+01
  336  7.961E-01  7.298E-05  1.996E+00  4.278E-03  5.631E+01
  337  7.962E-01  7.298E-05  1.996E+00  3.972E-03  5.631E+01
  338  7.962E-01  7.298E-05  1.996E+00  3.666E-03  5.631E+01
  339  7.963E-01  6.077E-05  1.997E+00  3.411E-03  5.631E+01
  340  7.964E-01  6.077E-05  1.997E+00  3.155E-03  5.631E+01
  341  7.964E-01  6.077E-05  1.997E+00  2.900E-03  5.631E+01
  342  7.965E-01  4.812E-05  1.997E+00  2.698E-03  5.631E+01
  343  7.965E-01  4.812E-05  1.998E+00  2.495E-03  5.631E+01
  344  7.966E-01  4.812E-05  1.998E+00  2.293E-03  5.631E+01
  345  7.966E-01  3.787E-05  1.998E+00  2.134E-03  5.631E+01
  346  7.966E-01  3.787E-05  1.998E+00  1.974E-03  5.631E+01
  347  7.967E-01  3.787E-05  1.998E+00  1.815E-03  5.631E+01
